"AÑO","NAME","CANTIDAD"
1990,Acrocephalus schoenobaenus                   ,2
2002,Certhia brachydactyla                        ,6
1985,Motacilla cinerea                            ,1
1995,Erithacus rubecula                           ,30
1999,Fringilla coelebs                            ,43
2002,Carduelis chloris                            ,74
2001,Sturnus unicolor                             ,4
1984,Calidris alpina                              ,7
2004,Delichon urbica                              ,9
2002,Apus apus                                    ,7
2016,Tringa ochropus                              ,4
2020,Actitis hypoleucos                           ,2
2006,Carduelis spinus                             ,627
1991,Calidris minuta                              ,1
2001,Emberiza cia                                 ,110
1989,Larus (argentatus) cachinnans                ,7
1989,Ardea cinerea                                ,265
2008,Remiz pendulinus                             ,30
2002,Sylvia curruca                               ,2
2016,Turdus merula                                ,21
2020,Sylvia cantillans                            ,1
2018,Merops apiaster                              ,3
2014,Monticola solitarius                         ,2
1985,Passer montanus                              ,134
1991,Acrocephalus scirpaceus                      ,83
1996,Phylloscopus collybita                       ,214
1991,Oenanthe oenanthe                            ,9
1991,Regulus regulus                              ,1
1992,Upupa epops                                  ,3
2007,Tringa nebularia                             ,3
2011,Larus fuscus                                 ,1
2008,Sterna albifrons                             ,59
2004,Remiz pendulinus                             ,19
1999,Motacilla flava flava                        ,1
1984,Chlidonias niger                             ,2
2006,Himantopus himantopus                        ,24
2013,Luscinia svecica                             ,1
1989,Carduelis carduelis                          ,155
1993,Parus ater                                   ,1
1991,Sylvia cantillans cantillans                 ,2
1996,Carduelis cannabina                          ,224
1992,Motacilla flava flavissima                   ,31
1990,Oenanthe deserti                             ,1
2002,Emberiza schoeniclus                         ,61
1986,Turdus merula                                ,51
2000,Turdus merula                                ,63
2003,Sturnus vulgaris                             ,1
1990,Streptopelia turtur                          ,8
2005,Gallinago gallinago                          ,1
2009,Acrocephalus arundinaceus                    ,91
1984,Charadrius alexandrinus                      ,30
2005,Acrocephalus scirpaceus                      ,378
2007,Regulus ignicapillus                         ,2
2008,Anthus pratensis                             ,75
2014,Luscinia svecica cyanecula                   ,2
1990,Delichon urbica                              ,4
1999,Certhia brachydactyla                        ,1
1993,Parus caeruleus                              ,8
1985,Alcedo atthis                                ,12
1987,Fringilla coelebs                            ,8
1999,Sylvia borin                                 ,2
2002,Fringilla coelebs                            ,32
2001,Acrocephalus scirpaceus                      ,275
2003,Oenanthe oenanthe                            ,1
1985,Oriolus oriolus                              ,1
2000,Motacilla flava flavissima                   ,1
2000,Saxicola torquata rubicola                   ,1
2001,Motacilla cinerea                            ,6
2001,Saxicola torquata maura                      ,1
2002,Anthus (spinoletta) petrosus                 ,1
2008,Parus major                                  ,154
1986,Larus ridibundus                             ,7
1987,Milvus migrans                               ,1
2001,Delichon urbica                              ,2
2005,Jynx torquilla                               ,11
2005,Ptyonoprogne rupestris                       ,7
2015,Turdus merula                                ,17
2019,Sturnus vulgaris                             ,7
2012,Certhia brachydactyla                        ,5
1995,Muscicapa striata                            ,8
1997,Sylvia melanocephala                         ,7
1991,Locustella naevia                            ,2
2002,Carduelis spinus                             ,160
1985,Turdus philomelos                            ,323
1987,Emberiza cirlus                              ,1
1991,Monticola saxatilis                          ,1
2009,Lanius senator                               ,19
2003,Pica pica                                    ,4
2005,Pica pica                                    ,10
2001,Falco tinnunculus                            ,10
2009,Clamator glandarius                          ,1
2006,Falco peregrinus                             ,1
2009,Passer domesticus                            ,347
2008,Phylloscopus trochilus acredula              ,1
2004,Sterna albifrons                             ,104
1984,Lymnocryptes minimus                         ,2
2018,Luscinia megarhynchos                        ,1
2019,Ficedula hypoleuca                           ,4
1995,Passer montanus                              ,19
1999,Hippolais polyglotta                         ,6
1990,Sylvia conspicillata                         ,15
1996,Parus ater                                   ,2
1998,Cisticola juncidis                           ,2
1985,Calidris minuta                              ,30
1988,Charadrius dubius                            ,1
1989,Lanius senator badius                        ,2
1999,Sylvia atricapilla                           ,164
2003,Emberiza cia                                 ,7
1989,Picus viridis                                ,1
1985,Asio otus                                    ,1
2005,Locustella naevia                            ,1
2008,Charadrius alexandrinus                      ,5
1984,Sterna hirundo                               ,24
2018,Pica pica                                    ,1
2016,Accipiter nisus                              ,1
